,Food group,Group, Baseline,Value,CF,DALY
277,Veg_greenpeas,5.0,8.94152558223746,4.0,0.5,0.25
278,Veg_mushroom,5.0,4.18172658468809,69.5,0.5,0.25
279,Veg_other_coarse,5.0,55.937169704039,47.5,0.5,0.25
280,Veg_other_fine,5.0,55.6228442253019,56.5,0.5,0.25
281,Veg_redorange_coarse,5.0,35.6293156621765,31.6,0.5,0.25
282,Veg_redorange_fine,5.0,58.0208837176865,5.4,0.5,0.25
283,Meat_pork_offal,6.0,11.4006798762317,0.0,0.5,0.25
284,Meat_pork_processed,6.0,27.5313752689261,0.0,0.5,0.25
285,Meat_pork_raw,6.0,49.2471426639361,0.0,0.5,0.25
286,Meat_ruminant,6.0,50.515039627682,11.6,0.5,0.25
287,Nuts,7.0,6.05705976188517,0.5,0.5,0.25
288,Seeds,7.0,0.441603534023337,1.4,0.5,0.25
289,Legumes,8.0,3.06,0.0,0.5,0.25
290,Alcohol,,241.442485855727,0.0,0.5,0.25
291,Coffee_tea_cocoa,,765.994878325908,53.0,0.5,0.25
292,Egg,,24.9672535305872,0.0,0.5,0.25
293,Fat_animal,,12.2472415498424,38.9,0.5,0.25
294,Fat_plant,,28.0416328686588,0.0,0.5,0.25
295,Meat_poultry,,29.0020243924439,178.2,0.5,0.25
296,Replacer_meat_dairy,,1.20017322435697,1.2,0.5,0.25
297,Soda,,190.083267280989,0.0,0.5,0.25
298,Spices_miscellaneous,,21.8212718851534,0.0,0.5,0.25
299,Water,,1221.01509371654,1195.2,0.5,0.25
300,Bread_rye,1.0,64.3214138169407,97.4,0.0,0.5
301,Bread_wheat_coarse,1.0,34.3722328092571,40.5,0.0,0.5
302,Bread_wheat_fine,1.0,51.3582512086115,58.4,0.0,0.5
303,Breakfastcereals,1.0,6.40876221981927,6.7,0.0,0.5
304,Discretionary_foods,1.0,57.8180503622414,48.0,0.0,0.5
305,Flour_kernels,1.0,24.802455439947,30.6,0.0,0.5
306,Oats,1.0,14.5261640762295,17.7,0.0,0.5
307,Pasta,1.0,8.11542000546066,8.7,0.0,0.5
308,Rice,1.0,6.54718536425384,6.8,0.0,0.5
309,Cheese_fresh,2.0,6.52183371875592,6.3,0.0,0.5
310,Cheese_other,2.0,38.6973569484548,10.4,0.0,0.5
311,Dairy_fermented,2.0,30.6551698946953,30.3,0.0,0.5
312,Dairy_other,2.0,16.67,12.5,0.0,0.5
313,Milk_highfat,2.0,110.01,105.6,0.0,0.5
314,Milk_lowfat,2.0,162.81288340884,184.2,0.0,0.5
315,Fish_fatty,3.0,16.7881573230695,22.8,0.0,0.5
316,Fish_lean_highclimate,3.0,9.05882738179107,10.3,0.0,0.5
317,Fish_lean_lowmediumclimate,3.0,9.99451177443916,12.7,0.0,0.5
318,Fruit_berry,4.0,15.2527109490058,16.7,0.0,0.5
319,Fruit_citrus,4.0,19.3344139165275,21.2,0.0,0.5
320,Fruit_dried,4.0,3.20122273516868,3.3,0.0,0.5
321,Fruit_juice,4.0,59.2189094830217,72.1,0.0,0.5
322,Fruit_pome,4.0,66.9856413042249,92.6,0.0,0.5
323,Fruit_stone,4.0,15.219228949945,16.4,0.0,0.5
324,Fruit_tropical,4.0,63.6021325491428,83.9,0.0,0.5
325,Potatoes,,85.4825248197403,7.7,0.0,0.5
326,Veg_darkgreen,5.0,7.30254950863854,9.6,0.0,0.5
327,Veg_greenpeas,5.0,8.94152558223746,4.4,0.0,0.5
328,Veg_mushroom,5.0,4.18172658468809,71.4,0.0,0.5
329,Veg_other_coarse,5.0,55.937169704039,71.2,0.0,0.5
330,Veg_other_fine,5.0,55.6228442253019,43.5,0.0,0.5
331,Veg_redorange_coarse,5.0,35.6293156621765,74.5,0.0,0.5
332,Veg_redorange_fine,5.0,58.0208837176865,10.9,0.0,0.5
333,Meat_pork_offal,6.0,11.4006798762317,17.0,0.0,0.5
334,Meat_pork_processed,6.0,27.5313752689261,49.8,0.0,0.5
335,Meat_pork_raw,6.0,49.2471426639361,47.2,0.0,0.5
336,Meat_ruminant,6.0,50.515039627682,7.4,0.0,0.5
337,Nuts,7.0,6.05705976188517,0.5,0.0,0.5
338,Seeds,7.0,0.441603534023337,1.3,0.0,0.5
339,Legumes,8.0,3.06,277.8,0.0,0.5
340,Alcohol,,241.442485855727,783.3,0.0,0.5
341,Coffee_tea_cocoa,,765.994878325908,27.8,0.0,0.5
342,Egg,,24.9672535305872,5.6,0.0,0.5
343,Fat_animal,,12.2472415498424,20.1,0.0,0.5
344,Fat_plant,,28.0416328686588,31.8,0.0,0.5
345,Meat_poultry,,29.0020243924439,101.4,0.0,0.5
346,Replacer_meat_dairy,,1.20017322435697,1.2,0.0,0.5
347,Soda,,190.083267280989,199.3,0.0,0.5
348,Spices_miscellaneous,,21.8212718851534,0.4,0.0,0.5
349,Water,,1221.01509371654,1178.3,0.0,0.5
350,Bread_rye,1.0,64.3214138169407,88.2,0.25,0.5
351,Bread_wheat_coarse,1.0,34.3722328092571,45.2,0.25,0.5
352,Bread_wheat_fine,1.0,51.3582512086115,71.0,0.25,0.5
353,Breakfastcereals,1.0,6.40876221981927,6.8,0.25,0.5
354,Discretionary_foods,1.0,57.8180503622414,67.7,0.25,0.5
355,Flour_kernels,1.0,24.802455439947,33.1,0.25,0.5
356,Oats,1.0,14.5261640762295,19.3,0.25,0.5
357,Pasta,1.0,8.11542000546066,9.1,0.25,0.5
358,Rice,1.0,6.54718536425384,7.0,0.25,0.5
359,Cheese_fresh,2.0,6.52183371875592,6.2,0.25,0.5
360,Cheese_other,2.0,38.6973569484548,6.2,0.25,0.5
361,Dairy_fermented,2.0,30.6551698946953,31.1,0.25,0.5
362,Dairy_other,2.0,16.67,12.5,0.25,0.5
363,Milk_highfat,2.0,110.01,116.2,0.25,0.5
364,Milk_lowfat,2.0,162.81288340884,189.1,0.25,0.5
365,Fish_fatty,3.0,16.7881573230695,25.8,0.25,0.5
366,Fish_lean_highclimate,3.0,9.05882738179107,8.1,0.25,0.5
367,Fish_lean_lowmediumclimate,3.0,9.99451177443916,15.9,0.25,0.5
368,Fruit_berry,4.0,15.2527109490058,16.7,0.25,0.5
369,Fruit_citrus,4.0,19.3344139165275,21.4,0.25,0.5
370,Fruit_dried,4.0,3.20122273516868,3.3,0.25,0.5
371,Fruit_juice,4.0,59.2189094830217,72.0,0.25,0.5
372,Fruit_pome,4.0,66.9856413042249,94.5,0.25,0.5
373,Fruit_stone,4.0,15.219228949945,16.5,0.25,0.5
374,Fruit_tropical,4.0,63.6021325491428,78.2,0.25,0.5
375,Potatoes,,85.4825248197403,7.7,0.25,0.5
376,Veg_darkgreen,5.0,7.30254950863854,9.5,0.25,0.5
377,Veg_greenpeas,5.0,8.94152558223746,4.4,0.25,0.5
378,Veg_mushroom,5.0,4.18172658468809,70.8,0.25,0.5
379,Veg_other_coarse,5.0,55.937169704039,67.9,0.25,0.5
380,Veg_other_fine,5.0,55.6228442253019,43.4,0.25,0.5
381,Veg_redorange_coarse,5.0,35.6293156621765,68.9,0.25,0.5
382,Veg_redorange_fine,5.0,58.0208837176865,11.7,0.25,0.5
383,Meat_pork_offal,6.0,11.4006798762317,15.3,0.25,0.5
384,Meat_pork_processed,6.0,27.5313752689261,45.8,0.25,0.5
385,Meat_pork_raw,6.0,49.2471426639361,0.0,0.25,0.5
386,Meat_ruminant,6.0,50.515039627682,8.2,0.25,0.5
387,Nuts,7.0,6.05705976188517,0.5,0.25,0.5
388,Seeds,7.0,0.441603534023337,1.3,0.25,0.5
389,Legumes,8.0,3.06,174.1,0.25,0.5
390,Alcohol,,241.442485855727,408.7,0.25,0.5
391,Coffee_tea_cocoa,,765.994878325908,35.6,0.25,0.5
392,Egg,,24.9672535305872,6.1,0.25,0.5
393,Fat_animal,,12.2472415498424,23.6,0.25,0.5
394,Fat_plant,,28.0416328686588,29.4,0.25,0.5
395,Meat_poultry,,29.0020243924439,98.6,0.25,0.5
396,Replacer_meat_dairy,,1.20017322435697,1.2,0.25,0.5
397,Soda,,190.083267280989,175.9,0.25,0.5
398,Spices_miscellaneous,,21.8212718851534,0.2,0.25,0.5
399,Water,,1221.01509371654,1175.7,0.25,0.5
400,Bread_rye,1.0,64.3214138169407,85.8,0.5,0.5
401,Bread_wheat_coarse,1.0,34.3722328092571,64.1,0.5,0.5
